Date,temperature,ACPower,date,weekday,time
2019-03-08 17:00:00,23.451999999999998,0.0,2019-03-08,4,17:00:00
2019-03-08 17:05:00,23.718,0.0,2019-03-08,4,17:05:00
2019-03-08 17:10:00,23.982,0.0,2019-03-08,4,17:10:00
2019-03-08 17:15:00,24.252000000000002,0.0,2019-03-08,4,17:15:00
2019-03-08 17:20:00,24.332,0.0,2019-03-08,4,17:20:00
2019-03-08 17:25:00,24.472,0.0,2019-03-08,4,17:25:00
2019-03-08 17:30:00,24.619999999999997,0.0,2019-03-08,4,17:30:00
2019-03-08 17:35:00,24.752,0.0,2019-03-08,4,17:35:00
2019-03-08 17:40:00,24.916,0.0,2019-03-08,4,17:40:00
2019-03-08 17:45:00,25.314,0.0,2019-03-08,4,17:45:00
2019-03-08 17:50:00,25.124000000000002,0.0,2019-03-08,4,17:50:00
2019-03-08 17:55:00,25.198,0.0,2019-03-08,4,17:55:00
2019-03-08 18:00:00,25.196,0.0,2019-03-08,4,18:00:00
2019-03-08 18:05:00,25.16,0.0,2019-03-08,4,18:05:00
2019-03-08 18:10:00,25.387999999999998,0.0,2019-03-08,4,18:10:00
2019-03-08 18:15:00,25.5,0.0,2019-03-08,4,18:15:00
2019-03-08 18:20:00,25.022,0.0,2019-03-08,4,18:20:00
2019-03-08 18:25:00,24.928,0.0,2019-03-08,4,18:25:00
2019-03-08 18:30:00,24.84,0.0,2019-03-08,4,18:30:00
2019-03-08 18:35:00,24.758,0.0,2019-03-08,4,18:35:00
2019-03-08 18:40:00,24.692,0.0,2019-03-08,4,18:40:00
2019-03-08 18:45:00,24.636000000000003,0.0,2019-03-08,4,18:45:00
2019-03-08 18:50:00,24.594,0.0,2019-03-08,4,18:50:00
2019-03-08 18:55:00,24.548,0.0,2019-03-08,4,18:55:00
2019-03-08 19:00:00,24.524,0.0,2019-03-08,4,19:00:00
2019-03-08 19:05:00,24.508000000000003,0.0,2019-03-08,4,19:05:00
2019-03-08 19:10:00,24.491999999999997,0.0,2019-03-08,4,19:10:00
2019-03-08 19:15:00,24.462,0.0,2019-03-08,4,19:15:00
2019-03-08 19:20:00,24.442,0.0,2019-03-08,4,19:20:00
2019-03-08 19:25:00,24.428,0.0,2019-03-08,4,19:25:00
2019-03-08 19:30:00,24.428,0.0,2019-03-08,4,19:30:00
2019-03-08 19:35:00,24.41,0.0,2019-03-08,4,19:35:00
2019-03-08 19:40:00,24.396,0.0,2019-03-08,4,19:40:00
2019-03-08 19:45:00,24.394,0.0,2019-03-08,4,19:45:00
2019-03-08 19:50:00,24.392000000000003,0.0,2019-03-08,4,19:50:00
2019-03-08 19:55:00,24.386000000000003,0.0,2019-03-08,4,19:55:00
2019-03-08 20:00:00,24.362000000000002,0.0,2019-03-08,4,20:00:00
2019-03-11 07:00:00,26.18,0.89,2019-03-11,0,07:00:00
2019-03-11 07:05:00,26.1,0.9,2019-03-11,0,07:05:00
2019-03-11 07:10:00,26.016,0.9,2019-03-11,0,07:10:00
2019-03-11 07:15:00,25.996,0.9,2019-03-11,0,07:15:00
2019-03-11 07:20:00,26.006,0.9,2019-03-11,0,07:20:00
2019-03-11 07:25:00,25.988,0.9,2019-03-11,0,07:25:00
2019-03-11 07:30:00,26.058,0.9,2019-03-11,0,07:30:00
2019-03-11 07:35:00,26.160000000000004,0.9,2019-03-11,0,07:35:00
2019-03-11 07:40:00,26.46,0.9,2019-03-11,0,07:40:00
2019-03-11 07:45:00,26.208,1.9,2019-03-11,0,07:45:00
2019-03-11 07:50:00,25.686,10.52,2019-03-11,0,07:50:00
2019-03-11 07:55:00,25.3,19.63,2019-03-11,0,07:55:00
2019-03-11 08:00:00,24.6,18.82,2019-03-11,0,08:00:00
2019-03-11 08:05:00,24.02,18.72,2019-03-11,0,08:05:00
2019-03-11 08:10:00,23.22,18.53,2019-03-11,0,08:10:00
2019-03-11 08:15:00,22.528,18.18,2019-03-11,0,08:15:00
2019-03-11 08:20:00,22.284,10.07,2019-03-11,0,08:20:00
2019-03-11 08:25:00,22.184,10.14,2019-03-11,0,08:25:00
2019-03-11 08:30:00,22.216,10.03,2019-03-11,0,08:30:00
2019-03-11 08:35:00,21.884,10.21,2019-03-11,0,08:35:00
2019-03-11 08:40:00,21.794,10.12,2019-03-11,0,08:40:00
2019-03-11 08:45:00,21.704,10.06,2019-03-11,0,08:45:00
2019-03-11 08:50:00,21.657999999999998,10.2,2019-03-11,0,08:50:00
2019-03-11 08:55:00,21.554000000000002,10.09,2019-03-11,0,08:55:00
2019-03-11 09:00:00,21.476,10.1,2019-03-11,0,09:00:00
2019-03-11 09:05:00,21.34,10.07,2019-03-11,0,09:05:00
2019-03-11 09:10:00,21.296,10.11,2019-03-11,0,09:10:00
2019-03-11 09:15:00,21.23,9.9,2019-03-11,0,09:15:00
2019-03-11 09:20:00,21.252000000000002,10.15,2019-03-11,0,09:20:00
2019-03-11 09:25:00,21.278,10.13,2019-03-11,0,09:25:00
2019-03-11 09:30:00,20.93,10.04,2019-03-11,0,09:30:00
